,Release Date,Title,Genre,Runtime,Budget,Revenue
223,1994-09-23,The Shawshank Redemption,Drama,142.0,25000000.0,28341469.0
224,1995-06-30,Apollo 13,Drama,140.0,52000000.0,355237933.0
225,1995-07-18,Babe,Fantasy,91.0,30000000.0,254134910.0
226,1995-05-24,Braveheart,Action,178.0,72000000.0,210000000.0
227,1995-12-13,Sense and Sensibility,Drama,136.0,16000000.0,134582776.0
228,1996-11-05,The English Patient,Drama,162.0,27000000.0,231976425.0
229,1996-03-08,Fargo,Crime,98.0,7000000.0,60611975.0
230,1996-12-13,Jerry Maguire,Comedy,138.0,50000000.0,273552592.0
231,2002-11-13,Harry Potter and the Chamber of Secrets,Adventure,161.0,100000000.0,876688482.0
232,1996-08-15,Shine,Drama,105.0,5500000.0,35892330.0
233,1997-12-19,As Good as It Gets,Comedy,138.0,50000000.0,314178011.0
234,1997-08-13,The Full Monty,Comedy,91.0,3500000.0,257850122.0
235,1997-12-05,Good Will Hunting,Drama,127.0,10000000.0,225933435.0
236,1997-09-19,L.A. Confidential,Crime,138.0,35000000.0,126216940.0
237,1997-11-18,Titanic,Drama,194.0,200000000.0,2187463944.0
238,1998-09-13,Elizabeth,Drama,124.0,30000000.0,82150642.0
239,2009-06-01,Life is Beautiful,Drama,90.0,0.0,0.0
240,1998-07-24,Saving Private Ryan,Drama,169.0,70000000.0,481840909.0
241,1998-01-29,Shakespeare in Love,History,122.0,25000000.0,289317794.0
242,1998-03-05,The Thin Red Line,Drama,171.0,52000000.0,98126565.0
243,1999-09-15,American Beauty,Drama,122.0,15000000.0,356296601.0
244,1999-12-17,The Cider House Rules,Drama,126.0,24000000.0,88545092.0
245,1999-12-10,The Green Mile,Fantasy,189.0,60000000.0,286801374.0
246,1999-03-10,The Insider,Drama,157.0,90000000.0,60289912.0
247,1999-08-06,The Sixth Sense,Mystery,107.0,40000000.0,672806292.0
248,2000-03-02,Chocolat,Comedy,121.0,25000000.0,152500343.0
249,2016-02-18,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Action,103.0,20000000.0,0.0
